Model,AUC
VGG16,0.9889994791666666
DenseNet121,0.9832463541666667
ResNet50V2,0.9820791666666666
MobileNetV2,0.9613786458333333
EfficientNetB4,0.7104776041666667
InceptionV3,0.9845822916666667
Xception,0.9554015625
ConvNeXtTiny,0.9458880208333333
CustomCNN,0.6742611979166666
